Group,Title,Text file,Total,Count B1,Count C2,Count B2,Count A1,Count C1,Count A2,Count,Freq B1,Freq C2,Freq B2,Freq A1,Freq C1,Freq A2,Freq,TFIDF B1,TFIDF C2,TFIDF B2,TFIDF A1,TFIDF C1,TFIDF A2,TFIDF,msttr,mattr,ttr,rttr,cttr,mtld,hdd,Herdan,Summer,Dugast,Maas
IHG1,IHG1_1,data/texts/IHG1_1.txt,505,27,53,44,5,28,5,162,0.053465346534653464,0.10495049504950495,0.08712871287128712,0.009900990099009901,0.055445544554455446,0.009900990099009901,0.3207920792079208,0.05586426512256123,0.0742251535628875,0.07712712738734388,0.004336506269033028,0.06049578595849775,0.00873253757362873,0.28636361854960113,0.7150000000000001,0.7202593659942356,0.515695067264574,10.890815647638703,7.700969597097888,93.41299291073184,0.8238647621427332,0.8914418002885612,0.936452735909448,56.193995186319185,0.01779549570526811
IHG1,IHG1_2,data/texts/IHG1_2.txt,583,24,52,32,16,40,8,172,0.0411663807890223,0.08919382504288165,0.0548885077186964,0.0274442538593482,0.0686106346483705,0.0137221269296741,0.2950257289879931,0.044323626463371846,0.07608681435680528,0.05144936849184641,0.024529922011333416,0.07129511902283855,0.0175783971380335,0.2935199593333609,0.7200000000000001,0.7185609756097557,0.5068762278978389,11.435648945190755,8.086224916413173,88.92613803596818,0.8470070999292592,0.8909756760386135,0.9369110859572904,57.16566533132447,0.017493017779188522
IHG1,IHG1_3,data/texts/IHG1_3.txt,348,26,30,25,4,27,5,117,0.07471264367816093,0.08620689655172414,0.07183908045977011,0.011494252873563218,0.07758620689655173,0.014367816091954023,0.33620689655172414,0.06008799589547925,0.05321828279786764,0.06496660606477866,0.009534462638440041,0.08098710960448148,0.010140250016897358,0.2812458229444772,0.6766666666666666,0.7085514018691581,0.5111821086261981,9.043734703107544,6.394886135819452,80.63354383358097,0.8135499044233812,0.883222128933584,0.928981552313572,49.206267746327285,0.0203226142887994
IHG1,IHG1_4,data/texts/IHG1_4.txt,441,31,26,33,10,20,7,127,0.07029478458049887,0.05895691609977324,0.07482993197278912,0.022675736961451247,0.045351473922902494,0.015873015873015872,0.28798185941043086,0.06609368298090419,0.037512118843319814,0.06440093317401427,0.02103180596175801,0.036916650561990866,0.015785361659872467,0.24826737547590325,0.7266666666666667,0.7356785714285707,0.5277044854881267,10.273309938750282,7.26432712292148,106.64296825524593,0.8408695003438256,0.8923427468135302,0.9360549365669587,55.15221714600318,0.018131637343839203
IHL1,IHL1_1,data/texts/IHL1_1.txt,548,29,60,37,13,41,10,190,0.05291970802919708,0.10948905109489052,0.06751824817518248,0.023722627737226276,0.07481751824817519,0.01824817518248175,0.3467153284671533,0.051880749053622464,0.08683323711182009,0.053078027142246305,0.014884017876108093,0.0783710608061999,0.016163606482441303,0.29889507201158655,0.6799999999999999,0.6881347150259062,0.49690721649484537,10.943246281394647,7.7380436537686235,65.40471726793676,0.7992716206044034,0.8869121734000148,0.9341328123471585,54.68447910677502,0.018286724429566838
IHL1,IHL1_2,data/texts/IHL1_2.txt,586,39,38,43,13,33,27,193,0.06655290102389079,0.06484641638225255,0.07337883959044368,0.02218430034129693,0.05631399317406143,0.04607508532423208,0.3293515358361775,0.07401693948621535,0.06296851624658834,0.08237297103989312,0.019030256746890017,0.06502395560545755,0.05465156625367921,0.35845748296241586,0.748,0.7468446601941743,0.5459882583170255,12.342233350186268,8.727276896903469,107.86827168441346,0.8535424683416934,0.9029631262821657,0.944234232663969,64.26803905840927,0.015559833700405288
IHL1,IHL1_3,data/texts/IHL1_3.txt,312,19,22,22,4,17,5,89,0.060897435897435896,0.07051282051282051,0.07051282051282051,0.01282051282051282,0.05448717948717949,0.016025641025641024,0.28525641025641024,0.04360759614664493,0.04539780084650818,0.06622921455782191,0.012893004284244244,0.05393740622759655,0.017795851919648317,0.24920135192993603,0.6950000000000001,0.7054857142857137,0.551094890510949,9.122243609285672,6.450400315761545,72.13580782043398,0.7932815637951606,0.8938473773839162,0.9349488687903705,52.87790323079206,0.018911491169295764
IHL1,IHL1_4,data/texts/IHL1_4.txt,495,24,35,32,11,21,14,137,0.048484848484848485,0.0707070707070707,0.06464646464646465,0.022222222222222223,0.04242424242424243,0.028282828282828285,0.2767676767676768,0.04636098347775592,0.06073168853565382,0.07017591215618174,0.017413694056840744,0.03607056687106734,0.030946043790846332,0.2630841385660436,0.72,0.7173939393939394,0.5594405594405595,11.58730919004642,8.193464903987026,99.129342922007,0.8315007452794383,0.90417848326657,0.9441002855842582,63.257785156862504,0.015808330903781496
IHL2,IHL2_1,data/texts/IHL2_1.txt,583,32,59,40,5,26,10,172,0.0548885077186964,0.10120068610634649,0.0686106346483705,0.008576329331046312,0.044596912521440824,0.017152658662092625,0.2950257289879931,0.053534518492225666,0.0784073815765027,0.06371754709717611,0.00598704852880345,0.04643266337784194,0.014809805835498631,0.2634019170872469,0.642,0.6464470588235293,0.39122137404580154,8.955466580775639,6.332471147955959,62.602795470629864,0.7739045469655713,0.8501185096943242,0.9114817469847363,41.77628385967503,0.023937026169176808
IHL2,IHL2_2,data/texts/IHL2_2.txt,573,27,59,40,9,32,10,177,0.04712041884816754,0.10296684118673648,0.06980802792321117,0.015706806282722512,0.055846422338568937,0.017452006980802792,0.3089005235602094,0.04449295818838376,0.08499404541196004,0.07198929709871349,0.019875897571882732,0.0690551530228639,0.01780218213306817,0.31074745574886836,0.6859999999999999,0.690386473429951,0.49707602339181284,11.258525035052871,7.960979398444399,65.48216247668888,0.8089872438207315,0.8879837498604656,0.9351172836996954,55.70866581766031,0.017950528617452333
IHL2,IHL2_3,data/texts/IHL2_3.txt,383,27,25,29,6,28,4,119,0.07049608355091384,0.06527415143603134,0.07571801566579635,0.015665796344647518,0.0731070496083551,0.010443864229765013,0.31070496083550914,0.0582527850059991,0.04642662482618879,0.05685806406249632,0.01380227231711574,0.06977177400357387,0.008545060787616705,0.25374267078566176,0.7066666666666667,0.7130165289256184,0.5366568914956011,9.910005607652048,7.007432166767474,79.72862694300518,0.8072000395963345,0.8932769432740684,0.935997238548741,54.64500976822641,0.018299932678966315
